Running data/forestfires.data.new.txt Experiment with k nearest = 10
Average MSE: 4225.461914368932
Standard Deviation: 4477.235155437042
Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0.0, 7.02
0.0, 0.0
0.0, 1.95
0.72, 12.64
0.0, 0.0
0.0, 39.35
0.0, 0.0
0.0, 70.76
0.0, 0.0
0.0, 1090.84
0.0, 0.0
0.0, 5.44
0.0, 0.0
0.0, 2.64
0.0, 0.0
0.0, 1.64
0.0, 2.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 4.41
0.0, 0.0
0.0, 0.0
0.0, 15.64
0.33, 30.18
0.0, 8.31
0.0, 24.24
0.0, 0.0
0.0, 0.96
0.0, 1.72
0.0, 3.71
0.0, 95.18
0.0, 7.19
0.0, 0.0
0.0, 8.24
0.0, 18.3
1.9, 0.68
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 4.69
0.0, 16.0
0.0, 28.66
0.0, 37.71
0.0, 0.0
0.0, 3.63
0.0, 0.0
0.0, 0.0
0.0, 11.16
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 3.95
0.0, 0.0
0.0, 0.0
0.0, 174.63
0.0, 56.04
0.0, 42.87
0.0, 1.63
0.0, 0.0
0.0, 0.0
0.0, 28.74
0.0, 0.0
0.0, 0.0
0.9, 2.55
0.0, 0.0
0.0, 0.52
0.0, 1.94
0.0, 0.76
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 7.21
0.0, 0.0
0.0, 10.01
0.0, 0.43
0.0, 0.0
0.0, 6.44
0.0, 0.0
0.9, 0.0
0.0, 0.0
0.0, 17.85
0.0, 48.55
0.0, 1.76
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 1.26
0.0, 3.64
0.0, 13.99
0.0, 1.09
0.0, 0.0
0.0, 2.01
0.0, 3.19
