Running data/machine.data.new.txt Experiment with k nearest = 2
Average MSE: 5062.4390243902435
Standard Deviation: 4597.6086020176635
Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
24.0, 25.0
370.0, 277.0
32.0, 27.0
172.0, 220.0
18.0, 13.0
11.0, 18.0
138.0, 50.0
32.0, 63.0
21.0, 14.0
114.0, 134.0
24.0, 30.0
56.0, 45.0
74.0, 144.0
33.0, 120.0
24.0, 22.0
12.0, 18.0
32.0, 20.0
105.0, 50.0
50.0, 41.0
636.0, 1144.0
36.0, 16.0
32.0, 26.0
16.0, 14.0
93.0, 138.0
17.0, 36.0
636.0, 915.0
114.0, 189.0
208.0, 397.0
370.0, 248.0
100.0, 214.0
16.0, 16.0
106.0, 214.0
40.0, 32.0
33.0, 21.0
274.0, 368.0
28.0, 27.0
28.0, 77.0
188.0, 136.0
172.0, 277.0
465.0, 489.0
84.0, 72.0
