Running data/segmentation.data.new.txt Experiment with k nearest = 1
Average Error Rate: 0.03593073593073593
Standard Deviation: 0.009444772393623997
Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
WINDOW, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
WINDOW, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
WINDOW, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
FOLIAGE, FOLIAGE
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
BRICKFACE, CEMENT
CEMENT, CEMENT
WINDOW, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
CEMENT, CEMENT
