Running data/abalone.data.txt Experiment with pruning = True
Average Error Rate: 0.7740103159252095
Standard Deviation: 0.016661516434335884
Average Node Count: 704.6
Average Node Count (Pruned): 269.2
Average Node Difference: 435.4
Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
4.0, 3.0
4.0, 3.0
4.0, 4.0
6.0, 4.0
4.0, 4.0
4.0, 4.0
6.0, 4.0
6.0, 4.0
4.0, 4.0
5.0, 4.0
6.0, 4.0
6.0, 5.0
6.0, 5.0
4.0, 5.0
6.0, 5.0
6.0, 5.0
8.0, 5.0
5.0, 5.0
5.0, 5.0
6.0, 5.0
6.0, 5.0
6.0, 5.0
6.0, 5.0
5.0, 5.0
5.0, 5.0
4.0, 5.0
4.0, 5.0
8.0, 5.0
5.0, 5.0
6.0, 6.0
7.0, 6.0
6.0, 6.0
7.0, 6.0
7.0, 6.0
6.0, 6.0
10.0, 6.0
9.0, 6.0
6.0, 6.0
5.0, 6.0
6.0, 6.0
6.0, 6.0
7.0, 6.0
6.0, 6.0
10.0, 6.0
7.0, 6.0
7.0, 6.0
6.0, 6.0
6.0, 6.0
5.0, 6.0
7.0, 6.0
9.0, 6.0
6.0, 6.0
8.0, 6.0
6.0, 6.0
8.0, 6.0
8.0, 6.0
6.0, 6.0
6.0, 6.0
7.0, 6.0
7.0, 6.0
8.0, 6.0
7.0, 6.0
8.0, 6.0
8.0, 6.0
5.0, 6.0
7.0, 6.0
5.0, 6.0
6.0, 6.0
5.0, 6.0
7.0, 6.0
8.0, 7.0
7.0, 7.0
7.0, 7.0
8.0, 7.0
6.0, 7.0
8.0, 7.0
6.0, 7.0
8.0, 7.0
6.0, 7.0
9.0, 7.0
6.0, 7.0
8.0, 7.0
8.0, 7.0
5.0, 7.0
8.0, 7.0
7.0, 7.0
8.0, 7.0
6.0, 7.0
7.0, 7.0
5.0, 7.0
8.0, 7.0
6.0, 7.0
8.0, 7.0
6.0, 7.0
8.0, 7.0
8.0, 7.0
8.0, 7.0
7.0, 7.0
8.0, 7.0
8.0, 7.0
8.0, 7.0
7.0, 7.0
8.0, 7.0
11.0, 7.0
6.0, 7.0
8.0, 7.0
8.0, 7.0
6.0, 7.0
8.0, 7.0
8.0, 7.0
7.0, 7.0
6.0, 7.0
8.0, 7.0
8.0, 7.0
8.0, 7.0
8.0, 7.0
8.0, 7.0
9.0, 7.0
8.0, 7.0
8.0, 7.0
8.0, 7.0
8.0, 7.0
8.0, 7.0
8.0, 7.0
6.0, 7.0
4.0, 7.0
6.0, 7.0
6.0, 7.0
8.0, 7.0
6.0, 7.0
6.0, 7.0
7.0, 7.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
7.0, 8.0
7.0, 8.0
8.0, 8.0
6.0, 8.0
6.0, 8.0
7.0, 8.0
8.0, 8.0
9.0, 8.0
4.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
6.0, 8.0
8.0, 8.0
10.0, 8.0
9.0, 8.0
8.0, 8.0
5.0, 8.0
8.0, 8.0
9.0, 8.0
6.0, 8.0
9.0, 8.0
7.0, 8.0
10.0, 8.0
8.0, 8.0
7.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
6.0, 8.0
8.0, 8.0
8.0, 8.0
11.0, 8.0
8.0, 8.0
6.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
12.0, 8.0
8.0, 8.0
11.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
8.0, 8.0
10.0, 8.0
8.0, 8.0
16.0, 8.0
8.0, 8.0
10.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
10.0, 8.0
8.0, 8.0
7.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
11.0, 8.0
8.0, 8.0
6.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
11.0, 8.0
8.0, 8.0
8.0, 8.0
10.0, 8.0
9.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 9.0
10.0, 9.0
8.0, 9.0
9.0, 9.0
7.0, 9.0
10.0, 9.0
10.0, 9.0
9.0, 9.0
6.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
9.0, 9.0
10.0, 9.0
10.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
9.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
10.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
11.0, 9.0
8.0, 9.0
10.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
11.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
11.0, 9.0
9.0, 9.0
8.0, 9.0
9.0, 9.0
10.0, 9.0
8.0, 9.0
9.0, 9.0
7.0, 9.0
8.0, 9.0
16.0, 9.0
10.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
9.0, 9.0
8.0, 9.0
11.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
9.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
10.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
16.0, 9.0
10.0, 9.0
10.0, 9.0
8.0, 9.0
7.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
10.0, 9.0
8.0, 9.0
8.0, 9.0
16.0, 9.0
6.0, 9.0
9.0, 10.0
8.0, 10.0
10.0, 10.0
8.0, 10.0
10.0, 10.0
10.0, 10.0
9.0, 10.0
10.0, 10.0
9.0, 10.0
16.0, 10.0
8.0, 10.0
8.0, 10.0
9.0, 10.0
9.0, 10.0
10.0, 10.0
8.0, 10.0
9.0, 10.0
9.0, 10.0
11.0, 10.0
6.0, 10.0
10.0, 10.0
8.0, 10.0
12.0, 10.0
8.0, 10.0
10.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
10.0, 10.0
11.0, 10.0
8.0, 10.0
9.0, 10.0
11.0, 10.0
10.0, 10.0
16.0, 10.0
8.0, 10.0
8.0, 10.0
10.0, 10.0
8.0, 10.0
9.0, 10.0
9.0, 10.0
10.0, 10.0
8.0, 10.0
8.0, 10.0
10.0, 10.0
8.0, 10.0
9.0, 10.0
10.0, 10.0
10.0, 10.0
10.0, 10.0
8.0, 10.0
9.0, 10.0
10.0, 10.0
10.0, 10.0
10.0, 10.0
8.0, 10.0
9.0, 10.0
9.0, 10.0
10.0, 10.0
10.0, 10.0
11.0, 10.0
8.0, 10.0
9.0, 10.0
9.0, 10.0
16.0, 10.0
8.0, 10.0
8.0, 10.0
10.0, 10.0
8.0, 10.0
10.0, 10.0
10.0, 10.0
8.0, 10.0
9.0, 10.0
10.0, 10.0
8.0, 10.0
9.0, 10.0
8.0, 10.0
10.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
10.0, 10.0
10.0, 10.0
10.0, 10.0
8.0, 10.0
8.0, 10.0
8.0, 10.0
8.0, 10.0
11.0, 10.0
8.0, 10.0
16.0, 10.0
8.0, 10.0
10.0, 10.0
9.0, 10.0
9.0, 10.0
8.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
7.0, 11.0
9.0, 11.0
10.0, 11.0
11.0, 11.0
10.0, 11.0
11.0, 11.0
10.0, 11.0
11.0, 11.0
7.0, 11.0
10.0, 11.0
10.0, 11.0
10.0, 11.0
10.0, 11.0
16.0, 11.0
9.0, 11.0
11.0, 11.0
10.0, 11.0
11.0, 11.0
10.0, 11.0
8.0, 11.0
8.0, 11.0
10.0, 11.0
11.0, 11.0
8.0, 11.0
8.0, 11.0
10.0, 11.0
11.0, 11.0
8.0, 11.0
9.0, 11.0
8.0, 11.0
9.0, 11.0
11.0, 11.0
9.0, 11.0
10.0, 11.0
8.0, 11.0
11.0, 11.0
9.0, 11.0
10.0, 11.0
8.0, 11.0
16.0, 11.0
11.0, 11.0
8.0, 11.0
9.0, 11.0
8.0, 11.0
8.0, 11.0
10.0, 11.0
10.0, 11.0
11.0, 11.0
10.0, 11.0
6.0, 11.0
10.0, 11.0
9.0, 11.0
10.0, 11.0
10.0, 11.0
8.0, 11.0
9.0, 11.0
10.0, 11.0
9.0, 11.0
16.0, 11.0
9.0, 11.0
9.0, 11.0
10.0, 11.0
8.0, 11.0
9.0, 11.0
8.0, 11.0
8.0, 11.0
9.0, 11.0
9.0, 11.0
9.0, 11.0
8.0, 11.0
9.0, 11.0
9.0, 11.0
10.0, 11.0
11.0, 11.0
9.0, 11.0
10.0, 11.0
9.0, 11.0
8.0, 12.0
10.0, 12.0
11.0, 12.0
10.0, 12.0
9.0, 12.0
9.0, 12.0
9.0, 12.0
8.0, 12.0
10.0, 12.0
16.0, 12.0
9.0, 12.0
10.0, 12.0
9.0, 12.0
9.0, 12.0
10.0, 12.0
8.0, 12.0
8.0, 12.0
10.0, 12.0
9.0, 12.0
16.0, 12.0
8.0, 12.0
8.0, 12.0
8.0, 12.0
10.0, 12.0
8.0, 12.0
9.0, 12.0
9.0, 12.0
8.0, 12.0
11.0, 12.0
10.0, 12.0
9.0, 12.0
10.0, 12.0
9.0, 12.0
9.0, 12.0
9.0, 12.0
8.0, 12.0
9.0, 12.0
10.0, 12.0
9.0, 12.0
7.0, 12.0
10.0, 12.0
10.0, 12.0
7.0, 13.0
8.0, 13.0
8.0, 13.0
6.0, 13.0
11.0, 13.0
10.0, 13.0
10.0, 13.0
9.0, 13.0
8.0, 13.0
10.0, 13.0
9.0, 13.0
8.0, 13.0
8.0, 13.0
11.0, 13.0
10.0, 13.0
9.0, 13.0
9.0, 13.0
16.0, 13.0
8.0, 13.0
10.0, 13.0
8.0, 13.0
11.0, 13.0
11.0, 13.0
8.0, 13.0
10.0, 13.0
16.0, 13.0
10.0, 13.0
8.0, 13.0
8.0, 13.0
10.0, 13.0
8.0, 13.0
10.0, 13.0
16.0, 14.0
10.0, 14.0
8.0, 14.0
10.0, 14.0
11.0, 14.0
11.0, 14.0
9.0, 14.0
9.0, 14.0
10.0, 14.0
8.0, 14.0
8.0, 14.0
16.0, 14.0
11.0, 14.0
9.0, 14.0
16.0, 14.0
8.0, 14.0
10.0, 14.0
10.0, 14.0
16.0, 14.0
10.0, 14.0
8.0, 15.0
9.0, 15.0
9.0, 15.0
8.0, 15.0
8.0, 15.0
10.0, 15.0
10.0, 15.0
10.0, 15.0
10.0, 15.0
8.0, 15.0
8.0, 15.0
8.0, 15.0
9.0, 15.0
10.0, 15.0
16.0, 15.0
8.0, 15.0
16.0, 16.0
8.0, 16.0
8.0, 16.0
12.0, 16.0
10.0, 16.0
10.0, 16.0
16.0, 16.0
8.0, 16.0
8.0, 16.0
8.0, 16.0
9.0, 17.0
16.0, 17.0
11.0, 17.0
11.0, 17.0
10.0, 17.0
8.0, 17.0
16.0, 17.0
11.0, 17.0
10.0, 17.0
10.0, 18.0
9.0, 18.0
9.0, 18.0
8.0, 18.0
16.0, 18.0
8.0, 18.0
11.0, 19.0
10.0, 19.0
10.0, 19.0
10.0, 19.0
10.0, 19.0
16.0, 20.0
10.0, 20.0
10.0, 20.0
10.0, 20.0
8.0, 21.0
10.0, 21.0
9.0, 22.0
10.0, 23.0
