Running data/abalone.data.txt Experiment with pruning = False
Average Error Rate: 0.7770387768260109
Standard Deviation: 0.0032682803915283476
Average Node Count: 703.2
Average Node Count (Pruned): N/A
Average Node Difference: N/A
Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
4.0, 3.0
4.0, 3.0
5.0, 4.0
5.0, 4.0
5.0, 4.0
5.0, 4.0
6.0, 4.0
5.0, 4.0
5.0, 4.0
5.0, 4.0
5.0, 4.0
6.0, 5.0
6.0, 5.0
6.0, 5.0
6.0, 5.0
5.0, 5.0
7.0, 5.0
6.0, 5.0
5.0, 5.0
6.0, 5.0
7.0, 5.0
6.0, 5.0
6.0, 5.0
5.0, 5.0
5.0, 5.0
6.0, 5.0
7.0, 5.0
4.0, 5.0
6.0, 5.0
7.0, 6.0
8.0, 6.0
6.0, 6.0
6.0, 6.0
5.0, 6.0
7.0, 6.0
7.0, 6.0
7.0, 6.0
6.0, 6.0
7.0, 6.0
8.0, 6.0
10.0, 6.0
5.0, 6.0
10.0, 6.0
8.0, 6.0
6.0, 6.0
10.0, 6.0
9.0, 6.0
10.0, 6.0
10.0, 6.0
11.0, 6.0
7.0, 6.0
5.0, 6.0
7.0, 6.0
6.0, 6.0
6.0, 6.0
8.0, 6.0
6.0, 6.0
8.0, 6.0
10.0, 6.0
9.0, 6.0
5.0, 6.0
7.0, 6.0
6.0, 6.0
5.0, 6.0
5.0, 6.0
6.0, 6.0
6.0, 6.0
8.0, 6.0
6.0, 6.0
7.0, 6.0
11.0, 7.0
5.0, 7.0
10.0, 7.0
9.0, 7.0
7.0, 7.0
6.0, 7.0
9.0, 7.0
10.0, 7.0
7.0, 7.0
10.0, 7.0
6.0, 7.0
6.0, 7.0
7.0, 7.0
6.0, 7.0
7.0, 7.0
6.0, 7.0
7.0, 7.0
8.0, 7.0
8.0, 7.0
6.0, 7.0
7.0, 7.0
8.0, 7.0
9.0, 7.0
10.0, 7.0
7.0, 7.0
6.0, 7.0
7.0, 7.0
6.0, 7.0
5.0, 7.0
7.0, 7.0
6.0, 7.0
7.0, 7.0
7.0, 7.0
9.0, 7.0
6.0, 7.0
6.0, 7.0
8.0, 7.0
8.0, 7.0
6.0, 7.0
11.0, 7.0
6.0, 7.0
6.0, 7.0
6.0, 7.0
7.0, 7.0
6.0, 7.0
7.0, 7.0
7.0, 7.0
7.0, 7.0
6.0, 7.0
8.0, 7.0
6.0, 7.0
8.0, 7.0
6.0, 7.0
8.0, 7.0
7.0, 7.0
9.0, 7.0
8.0, 7.0
8.0, 7.0
6.0, 7.0
10.0, 7.0
8.0, 7.0
7.0, 7.0
7.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
9.0, 8.0
9.0, 8.0
11.0, 8.0
9.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
7.0, 8.0
9.0, 8.0
8.0, 8.0
7.0, 8.0
8.0, 8.0
7.0, 8.0
9.0, 8.0
9.0, 8.0
6.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
9.0, 8.0
7.0, 8.0
12.0, 8.0
9.0, 8.0
6.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
7.0, 8.0
8.0, 8.0
7.0, 8.0
12.0, 8.0
9.0, 8.0
9.0, 8.0
9.0, 8.0
9.0, 8.0
12.0, 8.0
9.0, 8.0
8.0, 8.0
11.0, 8.0
7.0, 8.0
8.0, 8.0
12.0, 8.0
9.0, 8.0
10.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
9.0, 8.0
8.0, 8.0
9.0, 8.0
6.0, 8.0
7.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
6.0, 8.0
10.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
11.0, 8.0
10.0, 8.0
10.0, 8.0
6.0, 8.0
9.0, 8.0
9.0, 8.0
8.0, 8.0
9.0, 8.0
7.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
10.0, 8.0
10.0, 8.0
8.0, 8.0
10.0, 8.0
8.0, 8.0
8.0, 8.0
9.0, 8.0
8.0, 8.0
6.0, 8.0
8.0, 8.0
9.0, 9.0
9.0, 9.0
10.0, 9.0
9.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
7.0, 9.0
13.0, 9.0
10.0, 9.0
9.0, 9.0
8.0, 9.0
11.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
9.0, 9.0
11.0, 9.0
11.0, 9.0
10.0, 9.0
9.0, 9.0
9.0, 9.0
10.0, 9.0
9.0, 9.0
9.0, 9.0
10.0, 9.0
10.0, 9.0
9.0, 9.0
9.0, 9.0
9.0, 9.0
10.0, 9.0
8.0, 9.0
11.0, 9.0
9.0, 9.0
7.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
8.0, 9.0
11.0, 9.0
10.0, 9.0
9.0, 9.0
10.0, 9.0
7.0, 9.0
9.0, 9.0
9.0, 9.0
9.0, 9.0
7.0, 9.0
9.0, 9.0
9.0, 9.0
9.0, 9.0
8.0, 9.0
9.0, 9.0
9.0, 9.0
9.0, 9.0
10.0, 9.0
11.0, 9.0
12.0, 9.0
11.0, 9.0
7.0, 9.0
10.0, 9.0
8.0, 9.0
9.0, 9.0
9.0, 9.0
9.0, 9.0
10.0, 9.0
8.0, 9.0
9.0, 9.0
10.0, 9.0
12.0, 9.0
9.0, 9.0
8.0, 9.0
7.0, 9.0
11.0, 9.0
9.0, 9.0
11.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
9.0, 9.0
9.0, 9.0
12.0, 9.0
9.0, 9.0
9.0, 9.0
8.0, 9.0
9.0, 9.0
7.0, 9.0
13.0, 9.0
9.0, 9.0
11.0, 9.0
8.0, 9.0
9.0, 9.0
8.0, 9.0
6.0, 9.0
9.0, 9.0
8.0, 9.0
11.0, 9.0
9.0, 9.0
10.0, 9.0
9.0, 9.0
9.0, 9.0
8.0, 10.0
11.0, 10.0
9.0, 10.0
8.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
11.0, 10.0
9.0, 10.0
10.0, 10.0
9.0, 10.0
9.0, 10.0
8.0, 10.0
20.0, 10.0
7.0, 10.0
9.0, 10.0
9.0, 10.0
10.0, 10.0
10.0, 10.0
17.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
8.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
10.0, 10.0
11.0, 10.0
9.0, 10.0
10.0, 10.0
9.0, 10.0
8.0, 10.0
11.0, 10.0
8.0, 10.0
9.0, 10.0
11.0, 10.0
10.0, 10.0
9.0, 10.0
10.0, 10.0
9.0, 10.0
11.0, 10.0
10.0, 10.0
19.0, 10.0
14.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
11.0, 10.0
8.0, 10.0
13.0, 10.0
10.0, 10.0
9.0, 10.0
8.0, 10.0
10.0, 10.0
9.0, 10.0
9.0, 10.0
8.0, 10.0
9.0, 10.0
11.0, 10.0
9.0, 10.0
7.0, 10.0
8.0, 10.0
9.0, 10.0
8.0, 10.0
17.0, 10.0
11.0, 10.0
9.0, 10.0
8.0, 10.0
10.0, 10.0
8.0, 10.0
10.0, 10.0
14.0, 10.0
8.0, 10.0
10.0, 10.0
10.0, 10.0
16.0, 10.0
9.0, 10.0
6.0, 10.0
10.0, 10.0
12.0, 10.0
11.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
9.0, 10.0
10.0, 10.0
11.0, 10.0
9.0, 10.0
9.0, 10.0
12.0, 10.0
8.0, 10.0
9.0, 10.0
12.0, 10.0
11.0, 10.0
10.0, 10.0
11.0, 10.0
11.0, 10.0
9.0, 11.0
9.0, 11.0
9.0, 11.0
12.0, 11.0
9.0, 11.0
11.0, 11.0
9.0, 11.0
11.0, 11.0
9.0, 11.0
9.0, 11.0
10.0, 11.0
10.0, 11.0
10.0, 11.0
11.0, 11.0
11.0, 11.0
8.0, 11.0
9.0, 11.0
11.0, 11.0
9.0, 11.0
9.0, 11.0
10.0, 11.0
9.0, 11.0
10.0, 11.0
8.0, 11.0
8.0, 11.0
10.0, 11.0
10.0, 11.0
9.0, 11.0
16.0, 11.0
10.0, 11.0
10.0, 11.0
9.0, 11.0
9.0, 11.0
11.0, 11.0
11.0, 11.0
9.0, 11.0
10.0, 11.0
9.0, 11.0
10.0, 11.0
13.0, 11.0
9.0, 11.0
9.0, 11.0
14.0, 11.0
11.0, 11.0
9.0, 11.0
9.0, 11.0
10.0, 11.0
10.0, 11.0
10.0, 11.0
12.0, 11.0
9.0, 11.0
10.0, 11.0
20.0, 11.0
6.0, 11.0
17.0, 11.0
9.0, 11.0
9.0, 11.0
10.0, 11.0
11.0, 11.0
11.0, 11.0
11.0, 11.0
10.0, 11.0
9.0, 11.0
10.0, 11.0
9.0, 11.0
9.0, 11.0
10.0, 11.0
10.0, 11.0
9.0, 11.0
9.0, 11.0
11.0, 11.0
11.0, 11.0
10.0, 11.0
10.0, 11.0
10.0, 11.0
6.0, 11.0
10.0, 11.0
9.0, 12.0
9.0, 12.0
12.0, 12.0
10.0, 12.0
9.0, 12.0
14.0, 12.0
12.0, 12.0
16.0, 12.0
10.0, 12.0
9.0, 12.0
9.0, 12.0
11.0, 12.0
9.0, 12.0
6.0, 12.0
9.0, 12.0
8.0, 12.0
9.0, 12.0
8.0, 12.0
10.0, 12.0
20.0, 12.0
10.0, 12.0
11.0, 12.0
7.0, 12.0
12.0, 12.0
8.0, 12.0
10.0, 12.0
8.0, 12.0
7.0, 12.0
9.0, 12.0
10.0, 12.0
9.0, 12.0
9.0, 12.0
9.0, 12.0
10.0, 12.0
9.0, 12.0
9.0, 12.0
13.0, 12.0
16.0, 12.0
9.0, 12.0
11.0, 12.0
11.0, 12.0
12.0, 12.0
10.0, 13.0
8.0, 13.0
10.0, 13.0
16.0, 13.0
9.0, 13.0
12.0, 13.0
9.0, 13.0
9.0, 13.0
9.0, 13.0
13.0, 13.0
10.0, 13.0
10.0, 13.0
9.0, 13.0
8.0, 13.0
12.0, 13.0
10.0, 13.0
9.0, 13.0
10.0, 13.0
10.0, 13.0
10.0, 13.0
10.0, 13.0
11.0, 13.0
16.0, 13.0
10.0, 13.0
10.0, 13.0
10.0, 13.0
10.0, 13.0
10.0, 13.0
10.0, 13.0
10.0, 13.0
11.0, 13.0
9.0, 13.0
8.0, 14.0
13.0, 14.0
10.0, 14.0
14.0, 14.0
10.0, 14.0
8.0, 14.0
8.0, 14.0
9.0, 14.0
10.0, 14.0
16.0, 14.0
9.0, 14.0
10.0, 14.0
10.0, 14.0
10.0, 14.0
14.0, 14.0
11.0, 14.0
11.0, 14.0
10.0, 14.0
17.0, 14.0
10.0, 14.0
10.0, 15.0
13.0, 15.0
9.0, 15.0
8.0, 15.0
11.0, 15.0
16.0, 15.0
14.0, 15.0
10.0, 15.0
14.0, 15.0
9.0, 15.0
10.0, 15.0
14.0, 15.0
9.0, 15.0
13.0, 15.0
10.0, 15.0
9.0, 15.0
11.0, 16.0
9.0, 16.0
8.0, 16.0
10.0, 16.0
9.0, 16.0
10.0, 16.0
7.0, 16.0
8.0, 16.0
9.0, 16.0
8.0, 16.0
13.0, 17.0
11.0, 17.0
10.0, 17.0
11.0, 17.0
14.0, 17.0
11.0, 17.0
9.0, 17.0
9.0, 17.0
10.0, 17.0
8.0, 18.0
10.0, 18.0
16.0, 18.0
11.0, 18.0
20.0, 18.0
10.0, 18.0
10.0, 19.0
10.0, 19.0
10.0, 19.0
10.0, 19.0
10.0, 19.0
10.0, 20.0
11.0, 20.0
8.0, 20.0
9.0, 20.0
11.0, 21.0
11.0, 21.0
9.0, 22.0
9.0, 23.0
