Running data/car.data.txt Experiment with pruning = True
Average Error Rate: 0.10254545454545454
Standard Deviation: 0.010639082791511122
Average Node Count: 317.0
Average Node Count (Pruned): 133.2
Average Node Difference: 183.8
Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
vgood, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, good
vgood, good
good, good
acc, good
good, good
good, good
good, good
good, good
vgood, good
acc, good
vgood, good
acc, acc
unacc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
vgood, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
vgood, acc
acc, acc
vgood, acc
vgood, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
vgood, acc
acc, acc
acc, acc
acc, acc
vgood, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
vgood, acc
acc, acc
acc, acc
acc, acc
good, acc
acc, acc
unacc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
good, acc
acc, acc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
vgood, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
vgood, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
