Running data/car.data.txt Experiment with pruning = False
Average Error Rate: 0.07636363636363637
Standard Deviation: 0.015255401427929475
Average Node Count: 313.6
Average Node Count (Pruned): N/A
Average Node Difference: N/A
Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
acc, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, vgood
acc, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, vgood
vgood, good
good, good
good, good
vgood, good
good, good
good, good
good, good
good, good
good, good
good, good
good, good
acc, acc
vgood, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
good, acc
good, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
unacc, acc
unacc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
vgood, acc
acc, acc
acc, acc
acc, acc
acc, acc
acc, acc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
good, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
acc, unacc
unacc, unacc
unacc, unacc
unacc, unacc
