Running data/segmentation.data.new.txt Experiment with pruning = True
Average Error Rate: 0.09835164835164835
Standard Deviation: 0.00892751473036919
Average Node Count: 301.8
Average Node Count (Pruned): 155.4
Average Node Difference: 146.4
Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
CEMENT, WINDOW
PATH, WINDOW
BRICKFACE, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
BRICKFACE, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
FOLIAGE, WINDOW
WINDOW, WINDOW
BRICKFACE, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
