Running data/segmentation.data.new.txt Experiment with pruning = False
Average Error Rate: 0.08296703296703298
Standard Deviation: 0.008582691951545778
Average Node Count: 337.0
Average Node Count (Pruned): N/A
Average Node Difference: N/A
Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
CEMENT, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
PATH, PATH
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
FOLIAGE, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
SKY, SKY
WINDOW, WINDOW
FOLIAGE, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
BRICKFACE, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
FOLIAGE, WINDOW
FOLIAGE, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
FOLIAGE, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
CEMENT, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
FOLIAGE, WINDOW
WINDOW, WINDOW
FOLIAGE, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
FOLIAGE, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
FOLIAGE, WINDOW
FOLIAGE, WINDOW
WINDOW, WINDOW
PATH, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
WINDOW, WINDOW
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
CEMENT, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
WINDOW, BRICKFACE
BRICKFACE, BRICKFACE
BRICKFACE, BRICKFACE
