Running data/breast-cancer-wisconsin.data.new.txt Experiment with positive class = 0
Average Error Rate: 0.043478260869565216
Standard Deviation: 0.012125507630928631
Learned Linear Regression Model (Thetas) 
[ 1.0900362472972303,
  -0.11664307163743953,
  0.40880650429672805,
  0.10592567307393819,
  -0.41072575271015815,
  -0.2131797613849573,
  -0.7781244892829706,
  -1.305164138959278,
  -0.716780920784774,
  -1.2175057643897964,
  0.41814481801308573,
  0.3307851320701734,
  0.20971928240327722,
  -0.6347067237798915,
  -0.8433856278053198,
  0.2841033261069884,
  0.19521388645302054,
  -0.28920632288347903,
  -0.41347443141980456,
  -0.27207553775543786,
  0.7982406335791296,
  0.5795442260267915,
  -0.5708138301648598,
  -0.11928692339584153,
  -0.6692898660726843,
  -0.8646352206794969,
  -0.7887611474583327,
  -0.059207685428034826,
  0.10691851505848148,
  -0.7113182074775921,
  0.8341099231667063,
  0.08700570465525057,
  -0.7215067854087264,
  0.16762381347116925,
  0.5332708487054275,
  -0.355486739835507,
  -0.5553218361857591,
  -1.0688429655364713,
  0.9535402769670904,
  -0.08758752148957723,
  0.6197447151805775,
  0.24075663820591733,
  -0.18135523359049058,
  -0.9841816352483914,
  -0.9419816976665472,
  -0.46599468389438936,
  0.3567561531753483,
  -0.6986605576132906,
  0.28265116779048627,
  -0.6418409447024478,
  1.3699056268177874,
  -0.2808420352201983,
  -0.8651491712577051,
  -1.0053788798603087,
  0.07658957777879001,
  -0.03559769874613087,
  -0.5089488762927736,
  0.29593657370039017,
  -0.6034718736974986,
  -0.8141558583384324,
  0.5400851935373902,
  0.20292816116665166,
  0.41460829795221016,
  -0.44556608185350016,
  -0.48753942958577634,
  0.3888612636279364,
  -0.7720773835351127,
  0.18886847809527377,
  -0.896698166313752,
  -1.0511952060172067,
  0.08290841414856184,
  0.7031077287734451,
  -0.2937365432529757,
  0.03542938200360342,
  0.3629451791300371,
  -1.0931574266070525,
  -0.21746123619738852,
  -1.0755344042729795,
  -0.054412058606442534,
  0.037057230800104916,
  0.5504031391703892,
  0.0372893618680706,
  -0.057131997499427434,
  0.4387609512631958,
  0.25306436814535066,
  0.7231374990995679,
  0.0470082536141211,
  0.5394217570407664,
  -0.832537191242692,
  -0.25475072062289256]

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
