Running data/house-votes-84.data.new.txt Experiment with positive class = democrat
Average Error Rate: 0.06279069767441861
Standard Deviation: 0.01185818491533206
Learned Linear Regression Model (Thetas) 
[ 0.42183458176845384,
  -0.17831261097191078,
  1.9913886441057767,
  -1.8875843092140832,
  -0.3502909682368409,
  0.026206276361522462,
  -0.026089412497961505,
  0.37328080787724066,
  0.3729198019098438,
  -0.5839472411067427,
  1.5598793575378302,
  -0.9095077509259015,
  0.2773798946661082,
  -0.4350939418360747,
  0.9195161005260842,
  0.2140229383406883]

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
