Running data/house-votes-84.data.new.txt Experiment with positive class = republican
Average Error Rate: 0.06511627906976744
Standard Deviation: 0.0056964877739143676
Learned Linear Regression Model (Thetas) 
[ -0.4488795512227242,
  -0.35133387517672904,
  -1.0935291530990472,
  1.9319872950990664,
  0.4752000387278387,
  -0.619396415853319,
  -0.46715348513044136,
  -0.6958628072400249,
  -0.4478366933648489,
  0.6678092756534747,
  -1.6488182302109957,
  1.1159007836640078,
  0.4913309406882748,
  0.130760674259356,
  -0.7510333978983409,
  0.09366178511126436]

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
0, 1
