Running data/house-votes-84.data.new.txt Experiment with positive class = democrat
Average Error Rate: 0.1
Standard Deviation: 0.013953488372093021
Learned Naive Bayes Distribution: 
Keys are structured as follows: (feature#, possible domain values 0 or 1, 'label', label value)
Special Key's that are ('label', possible_class_value) are the percentage of the distribution with that class label
{ (0, 0, 'label', 0): 0.8120300751879699,
  (0, 0, 'label', 1): 0.4131455399061033,
  (0, 1, 'label', 0): 0.19548872180451127,
  (0, 1, 'label', 1): 0.5915492957746479,
  (1, 0, 'label', 0): 0.48120300751879697,
  (1, 0, 'label', 1): 0.5070422535211268,
  (1, 1, 'label', 0): 0.5263157894736842,
  (1, 1, 'label', 1): 0.49765258215962443,
  (2, 0, 'label', 0): 0.8571428571428571,
  (2, 0, 'label', 1): 0.13615023474178403,
  (2, 1, 'label', 0): 0.15037593984962405,
  (2, 1, 'label', 1): 0.8685446009389671,
  (3, 0, 'label', 0): 0.03007518796992481,
  (3, 0, 'label', 1): 0.9295774647887324,
  (3, 1, 'label', 0): 0.9774436090225563,
  (3, 1, 'label', 1): 0.07511737089201878,
  (4, 0, 'label', 0): 0.05263157894736842,
  (4, 0, 'label', 1): 0.7652582159624414,
  (4, 1, 'label', 0): 0.9548872180451128,
  (4, 1, 'label', 1): 0.23943661971830985,
  (5, 0, 'label', 0): 0.10526315789473684,
  (5, 0, 'label', 1): 0.49295774647887325,
  (5, 1, 'label', 0): 0.9022556390977443,
  (5, 1, 'label', 1): 0.5117370892018779,
  (6, 0, 'label', 0): 0.7368421052631579,
  (6, 0, 'label', 1): 0.24882629107981222,
  (6, 1, 'label', 0): 0.2706766917293233,
  (6, 1, 'label', 1): 0.755868544600939,
  (7, 0, 'label', 0): 0.8421052631578947,
  (13, 1, 'label', 0): 0.9624060150375939,
  (13, 1, 'label', 1): 0.3568075117370892,
  (14, 0, 'label', 1): 0.38497652582159625,
  ('label', 1): 0.6162790697674418,
  (7, 0, 'label', 1): 0.19248826291079812,
  (7, 1, 'label', 0): 0.16541353383458646,
  (7, 1, 'label', 1): 0.812206572769953,
  (8, 0, 'label', 0): 0.8796992481203008,
  (8, 0, 'label', 1): 0.3051643192488263,
  (8, 1, 'label', 0): 0.12781954887218044,
  (8, 1, 'label', 1): 0.6995305164319249,
  (9, 0, 'label', 0): 0.45864661654135336,
  (9, 0, 'label', 1): 0.5492957746478874,
  (9, 1, 'label', 0): 0.5488721804511278,
  (9, 1, 'label', 1): 0.45539906103286387,
  (10, 0, 'label', 0): 0.849624060150376,
  (11, 0, 'label', 1): 0.8215962441314554,
  (11, 1, 'label', 1): 0.18309859154929578,
  ('label', 0): 0.38372093023255816,
  (10, 0, 'label', 1): 0.48826291079812206,
  (10, 1, 'label', 0): 0.15789473684210525,
  (10, 1, 'label', 1): 0.5164319248826291,
  (11, 0, 'label', 0): 0.16541353383458646,
  (11, 1, 'label', 0): 0.8421052631578947,
  (12, 0, 'label', 0): 0.16541353383458646,
  (12, 0, 'label', 1): 0.676056338028169,
  (12, 1, 'label', 0): 0.8421052631578947,
  (12, 1, 'label', 1): 0.3286384976525822,
  (13, 0, 'label', 0): 0.045112781954887216,
  (13, 0, 'label', 1): 0.647887323943662,
  (14, 0, 'label', 0): 0.8872180451127819,
  (14, 1, 'label', 0): 0.12030075187969924,
  (14, 1, 'label', 1): 0.6197183098591549,
  (15, 0, 'label', 0): 0.3308270676691729,
  (15, 0, 'label', 1): 0.19248826291079812,
  (15, 1, 'label', 0): 0.6766917293233082,
  (15, 1, 'label', 1): 0.812206572769953}

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
[(0, 0.999999781200708), (1, 2.1879929198009925e-07)], 0
[(0, 0.9999998484210868), (1, 1.5157891320362353e-07)], 0
[(0, 0.9999997194080611), (1, 2.8059193891804696e-07)], 0
[(0, 0.5849659689144731), (1, 0.41503403108552706)], 0
[(1, 0.9999309770022876), (0, 6.902299771227971e-05)], 0
[(0, 0.734941115165), (1, 0.265058884835)], 0
[(0, 0.9999998639799784), (1, 1.3602002158369971e-07)], 0
[(0, 0.999999594974573), (1, 4.0502542708968263e-07)], 0
[(0, 0.9999825230438673), (1, 1.7476956132671955e-05)], 0
[(0, 0.9999997194080611), (1, 2.8059193891804696e-07)], 0
[(1, 0.9999909799968442), (0, 9.020003155839774e-06)], 0
[(0, 0.9999998639799784), (1, 1.3602002158369971e-07)], 0
[(1, 0.9055204002725191), (0, 0.09447959972748086)], 0
[(0, 0.9999985755012458), (1, 1.4244987542376002e-06)], 0
[(0, 0.9999992258572393), (1, 7.741427607109449e-07)], 0
[(0, 0.9998572545031977), (1, 0.00014274549680235368)], 0
[(0, 0.9999998639799784), (1, 1.3602002158369971e-07)], 0
[(0, 0.999999594974573), (1, 4.0502542708968263e-07)], 0
[(0, 0.9998650343225176), (1, 0.00013496567748247793)], 0
[(0, 0.999999781200708), (1, 2.1879929198009925e-07)], 0
[(0, 0.9999997194080611), (1, 2.8059193891804696e-07)], 0
[(0, 0.9999995486450344), (1, 4.513549656452323e-07)], 0
[(0, 0.9999807540298642), (1, 1.924597013578909e-05)], 0
[(0, 0.9999987484323686), (1, 1.251567631391316e-06)], 0
[(0, 0.9999983311670436), (1, 1.66883295632929e-06)], 0
[(0, 0.9999998484210868), (1, 1.5157891320362353e-07)], 0
[(0, 0.999999781200708), (1, 2.1879929198009925e-07)], 0
[(0, 0.9999995486450344), (1, 4.513549656452323e-07)], 0
[(0, 0.9999903435450405), (1, 9.656454959541983e-06)], 0
[(0, 0.9999997194080611), (1, 2.8059193891804696e-07)], 0
[(0, 0.9999473441201598), (1, 5.2655879840200686e-05)], 0
[(0, 0.999999781200708), (1, 2.1879929198009925e-07)], 0
[(0, 0.999999803659467), (1, 1.9634053308588742e-07)], 0
[(1, 0.7700358108849186), (0, 0.22996418911508143)], 1
[(1, 0.9999999995989018), (0, 4.0109816222598543e-10)], 1
[(1, 0.9999998070333221), (0, 1.9296667787572407e-07)], 1
[(1, 0.9987657420862631), (0, 0.001234257913736889)], 1
[(1, 0.9999999989737589), (0, 1.0262410608933043e-09)], 1
[(0, 0.888722443251538), (1, 0.11127755674846192)], 1
[(1, 0.9999999977171932), (0, 2.2828068439045136e-09)], 1
[(1, 0.9999999999662146), (0, 3.378536139148611e-11)], 1
[(1, 0.9999944704458696), (0, 5.529554130326999e-06)], 1
[(1, 0.9999556996265457), (0, 4.430037345423475e-05)], 1
[(1, 0.9999966828737729), (0, 3.317126227121987e-06)], 1
[(0, 0.9993110856971474), (1, 0.0006889143028525997)], 1
[(0, 0.9976105030821343), (1, 0.0023894969178656837)], 1
[(1, 0.9999999979515131), (0, 2.0484869884493427e-09)], 1
[(1, 0.9999999998196855), (0, 1.8031460007135634e-10)], 1
[(1, 0.9999999860028382), (0, 1.3997161835523667e-08)], 1
[(1, 0.9999999962722798), (0, 3.727720250317359e-09)], 1
[(1, 0.9999999997397215), (0, 2.602783503610454e-10)], 1
