Running data/breast-cancer-wisconsin.data.new.txt Experiment with positive class = 0
Average Error Rate: 0.03768115942028986
Standard Deviation: 0.008450654920065654
Learned NN Model (Weights) 
array([[[  1.04939071e+00,   3.94070028e-01,   6.97566558e-01,
           7.91934745e-01,   7.93323050e-01,   3.53589454e-01,
          -7.62117641e-01,  -7.76525430e-01,  -4.40465596e-01,
          -1.60364236e+00,   1.70734399e+00,   3.94206354e-01,
           2.56662174e-01,   5.09327882e-01,  -6.75572958e-01,
          -1.91756651e-02,   3.18043185e-01,   3.86600907e-01,
           8.65661706e-01,  -9.17478188e-01,   1.58874491e+00,
           8.11688554e-01,  -3.06984513e-02,  -1.65285773e-01,
          -4.38544404e-01,  -1.33632688e-01,   2.13703638e-01,
          -3.84829442e-01,   1.85069703e-03,  -4.71222932e-01,
           5.54585838e-01,   3.56474824e-01,   6.54174564e-01,
          -6.31073404e-01,   1.29578555e-01,   6.83251751e-02,
           4.08348691e-01,   5.10398864e-02,   1.28954044e-01,
          -5.66802971e-01,   6.55023534e-01,   2.91679206e-01,
           1.60799488e-01,  -5.92990838e-01,   6.05190171e-02,
          -6.28117650e-01,   9.78108112e-01,   2.95343203e-01,
           1.25919014e-02,  -1.04761898e+00,   1.33715740e+00,
           7.96522453e-01,   3.65757788e-01,  -1.58511017e-01,
           5.51241558e-01,  -2.17226637e-01,   8.57090654e-01,
          -7.49655078e-02,   6.72942484e-04,  -1.32667037e+00,
           9.43003258e-01,   8.43979028e-01,   7.41766314e-01,
           2.69165875e-01,  -4.22160167e-01,   7.25269259e-01,
          -4.36184139e-01,  -1.80645054e-01,   9.23203551e-02,
          -9.92090883e-03,   4.64614954e-01,   1.66354563e+00,
           1.86688349e-01,  -4.00701013e-01,  -7.96784912e-02,
           2.55683147e-01,   6.78870937e-01,   2.81304378e-01,
           4.02149695e-01,  -9.20697295e-01,   7.28150785e-01,
           1.15894519e-01,  -2.61093973e-01,   3.53346248e-01,
           5.96897282e-01,   2.15830303e-01,  -7.89174585e-02,
           4.62491445e-01,   3.54690038e-01,  -2.88562689e-01,
          -3.02760488e+00]]])

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
