Running data/breast-cancer-wisconsin.data.new.txt Experiment with positive class = 1
Average Error Rate: 0.03913043478260869
Standard Deviation: 0.015609173354013055
Learned NN Model (Weights) 
array([[[-1.09054677,  0.08038603, -0.18070315,  0.69854948, -0.31524213,
         -0.88350006,  1.18835498,  0.61402643,  1.25424455,  2.24124387,
         -0.68719261,  0.31207833,  0.65556155, -0.2304059 ,  0.87070668,
          0.73730614, -0.30317676,  0.35495499, -0.14839118,  1.1668546 ,
         -0.85550071, -0.82687783,  0.37012567,  1.02021061,  1.64591557,
          0.36005612,  0.21473636,  0.58110889,  0.67108228,  0.55051424,
         -0.21478865, -0.24873765,  0.19032967,  1.2027082 , -0.65247493,
          0.88612914,  0.87854816,  0.64704393,  0.33084302,  1.3260377 ,
          0.76115609, -0.66424333, -0.66603079,  0.48893822,  0.70070956,
          1.05497301, -0.19338623,  0.03156641,  0.29141161,  1.3924009 ,
         -1.5583134 , -0.36135063,  0.183573  ,  0.984407  ,  1.00179794,
          0.74570393,  0.55592465, -0.02647117,  0.71590823,  1.21558512,
         -0.81271461, -0.84955807, -0.57181223,  1.03743232,  1.10362148,
          0.70940194,  0.82729505,  1.26698822,  0.26423934,  1.2532518 ,
         -0.10625292, -1.09650538,  0.6207508 ,  0.72516092, -0.21052185,
          0.62602723,  0.23912719, -0.01740909,  1.23212004,  1.23537763,
         -0.55634669,  0.04468509,  0.68450206,  0.23792013,  0.8954077 ,
          0.97607394,  0.52102069,  0.03566101,  0.74466271,  0.74736429,
         -0.09810936]]])

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
