Running data/glass.data.new.txt Experiment with positive class = 1
Average Error Rate: 0.32195121951219513
Standard Deviation: 0.06434588272328252
Learned NN Model (Weights) 
array([[[ 0.59981601, -0.40005647, -0.17071601, -1.32701495, -0.437315  ,
         -0.05133463,  0.67196733, -0.2302177 , -0.49334235, -0.8096308 ,
         -0.65630313,  0.59035145, -2.68493586, -1.70937031, -1.11394381,
         -5.42144169,  4.9679742 ,  4.87554299,  1.18579586,  0.22921234,
          1.92297946, -3.96624368, -1.32948127,  0.45378933,  0.7550258 ,
          0.01287974,  2.52304394, -1.91458418, -1.92656232, -0.07230315,
         -0.85631212, -0.45336375, -1.37743668,  0.9232861 ,  0.95606086,
          0.80915117,  0.3891344 , -2.73452671, -1.4041307 ,  3.32386838,
         -0.0342845 , -0.44907656,  0.32657198, -2.10015102,  1.04807168,
         -0.975344  ,  0.32370309,  0.04980745,  0.95118771,  0.55297174,
          1.37525721,  1.07877755, -4.7289813 ,  0.19543932, -3.63588149]]])

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
1, 0
0, 0
0, 0
1, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
0, 1
1, 1
1, 1
0, 1
0, 1
