Running data/glass.data.new.txt Experiment with positive class = 2
Average Error Rate: 0.35609756097560974
Standard Deviation: 0.050222586053595114
Learned NN Model (Weights) 
array([[[ 0.37783939, -1.60546724, -0.10056058,  0.18486344,  2.28621186,
          1.16947115,  0.83654051,  0.13601208,  0.25254369,  0.37629817,
         -1.05369796,  0.36165157, -1.21297144, -0.59307842,  0.950952  ,
         -0.29628856,  0.88631606,  0.95747736,  0.06567885, -1.44062499,
          0.65009162,  1.75784855, -0.60455227, -0.17775626,  0.85413586,
          0.51761429, -0.67107531,  0.20338446, -0.05323128,  0.38882426,
         -0.18496496,  1.14201662, -1.21693232,  0.58546501,  0.588831  ,
          0.48818868,  0.0159191 ,  0.55554714, -1.37679373, -1.11378455,
         -0.56832375,  3.36380041,  0.19197741,  1.00014413, -1.09469305,
         -0.45542936,  0.36698617,  0.35604073, -0.45212269, -0.28205689,
          0.60961169, -0.32213582,  1.38952157,  0.05381471, -1.40416308]]])

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
1, 0
1, 0
0, 0
1, 0
0, 0
0, 0
1, 0
1, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
