Running data/glass.data.new.txt Experiment with positive class = 3
Average Error Rate: 0.08780487804878048
Standard Deviation: 0.011948730452600873
Learned NN Model (Weights) 
array([[[ 0.65608394, -0.14850333,  0.43628923, -0.06445174,  0.49213275,
          0.56604768,  0.72611989, -0.11042398, -0.62085986, -0.06203384,
         -0.18525202, -0.14163728, -1.59515745,  0.51079894, -0.16074524,
         -0.36113187,  0.85953955, -0.06772091,  0.06499398,  1.73914243,
         -0.50925655, -0.7924232 , -0.0599297 ,  0.07025132,  0.03193173,
          0.21265548,  0.12732083,  0.42627418, -1.05209732,  0.16243909,
         -0.19115778, -0.60514512, -0.32007791,  0.8173115 ,  0.1053754 ,
          0.47988485,  0.18659963, -0.12492519,  0.80158627, -0.67481392,
          0.03006579, -0.15335357,  0.00849919,  0.0855953 , -0.02721677,
         -0.3874316 ,  0.16181225,  0.06945314,  0.12761739, -0.21576306,
         -0.53223206,  0.18436391,  0.08593524,  0.37417434, -2.70412375]]])

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 1
0, 1
0, 1
