Running data/glass.data.new.txt Experiment with positive class = 5
Average Error Rate: 0.06341463414634146
Standard Deviation: 0.01951219512195122
Learned NN Model (Weights) 
array([[[ 0.58697288,  0.85338538, -0.02361697,  1.01592549,  0.4525585 ,
         -0.2178276 ,  0.1413255 ,  0.38010716,  1.68426298, -0.76500347,
         -1.08066145,  0.5972147 ,  0.3755281 ,  0.879911  ,  1.59230469,
          0.1552004 , -1.31386118, -0.71370493,  0.84818035, -1.05887796,
         -0.11226578,  0.5594563 , -0.2454015 ,  1.35528739,  0.85552806,
          0.18089913, -0.38600107, -0.42346852,  1.41674115,  0.15473794,
         -1.22105667, -0.56344939,  0.53119775,  0.23146803,  0.34440153,
          0.56950588, -0.07843787,  0.64107596, -1.51575435,  1.19951697,
          0.03703225, -0.40678475, -0.85348304,  0.44816612,  0.20731209,
          0.00343816,  0.82853268, -0.61770699,  0.12867148, -0.44191112,
         -0.68804291, -0.41796384,  0.00449601,  1.12555225, -2.17766374]]])

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 1
0, 1
