Running data/glass.data.new.txt Experiment with positive class = 6
Average Error Rate: 0.03414634146341464
Standard Deviation: 0.01194873045260087
Learned NN Model (Weights) 
array([[[ 1.15317268,  0.64309998, -0.75897873, -0.30771969,  0.05458783,
          0.73024401,  0.97579847,  0.38188962, -0.51033646, -0.25470225,
         -0.0599023 ,  0.53374405, -0.59492674,  0.74463333,  1.11886574,
          0.83484658,  0.16224635,  0.44697069,  0.32881601,  0.44613557,
          0.34772262, -0.26935949, -0.03811838,  0.07423078,  0.65001045,
         -0.39267554, -0.35656727, -0.34837298, -0.02541577,  0.8540105 ,
          1.03602046, -0.880694  , -0.09084555,  0.10631051,  0.61885155,
          0.11015396,  0.37180942,  0.3821265 , -0.75231049,  0.11651397,
          0.35204285, -0.03552569, -0.15030103,  0.437573  ,  0.55545893,
          0.47363233,  0.56833377,  0.59431848, -0.74829428,  0.48133685,
         -0.17407737, -0.15197588,  0.72963878,  0.1322624 , -1.79061871]]])

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 1
