Running data/iris.data.new.txt Experiment with positive class = Iris-versicolor
Average Error Rate: 0.06666666666666667
Standard Deviation: 0.04216370213557839
Learned NN Model (Weights) 
array([[[ 0.68517566, -1.83320711,  0.46949349,  0.51597493,  1.66499126,
         -0.88337329,  0.68992682,  0.13675379, -0.2150663 ,  0.45547376,
         -0.36018193, -0.05942223,  0.25636896, -1.36666818,  1.86021546,
          2.60639869, -0.16407664, -1.53464399,  0.24020379, -0.93574767,
          0.12540081,  3.34043991,  0.84547341, -2.55472813, -2.16105806]]])

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
