Running data/iris.data.new.txt Experiment with positive class = Iris-virginica
Average Error Rate: 0.06
Standard Deviation: 0.057348835113617505
Learned NN Model (Weights) 
array([[[ 0.33431645,  0.32731876, -0.6765639 ,  0.48385685, -0.56999035,
          1.46755637,  0.26811094,  0.0856205 ,  0.803595  , -0.17795317,
         -0.11747745,  0.93706162,  0.95935478, -1.22634877,  0.4187918 ,
         -0.83528541,  0.96897631,  1.47227642,  0.02608743, -1.13850578,
          0.07869507, -2.20415605,  0.5663469 ,  2.95253425, -1.21379419]]])

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
