Running data/house-votes-84.data.new.txt Experiment with positive class = democrat
Number of Hidden Layers: 1
Number of Nodes in First Hidden Layer: 5
Number of Nodes in First Hidden Layer: None
Average Error Rate: 0.046511627906976744
Standard Deviation: 0.010400316174417626
Learned NN Model (Weights) 
array([ array([[0.83679569596602144, 0.57424107771630872, 0.56986894091640483,
        0.8939254095849003, 0.38891906034438484, 0.84950689941120328,
        0.15783387610046781, 0.002027754174338669, 0.69263391945874864,
        0.98244467129814772, 0.25082565140552038, 0.71459830614741759,
        0.1632796276057823, 0.50290496810119745, 0.588229735105395,
        0.93954986679913832, 0.0040770822110568466],
       [0.023600715869649718, -3.0029437479782684, 0.89906947982697505,
        3.6424771453993072, 2.8101246730959089, -0.032094226870881155,
        2.7476203521705336, -0.6589067263938142, -2.1074782815497723,
        1.6594837584891273, -1.2438284877654009, -0.19577813879625497,
        1.8531615491695255, 1.3262787570816454, -3.6042356045465613,
        -0.4102782449659087, -2.0285105196731781],
       [-1.0014155695250111, -0.9507426874251913, 4.9930750417735981,
        -6.0245873525911033, -0.89548013651321201, 1.9391950999625103,
        -3.747210381882228, -0.28651952553250637, 1.2120797433365869,
        -1.9396985850606443, 3.6442398539646006, -1.947684929873686,
        -0.38426444681537136, 0.073048886177860775, 0.80201924917684564,
        -2.7212770885369335, 4.0663854985034673],
       [0.51716606934079035, 1.0064918462246049, 0.1745114235678818,
        0.52222357622611149, -0.09495867914855681, -0.060054191815388049,
        -0.29789489223249799, 1.1803820292165201, 0.78754761491165892,
        -0.25527731253501135, 1.1000860888222792, 0.013401354049077894,
        0.59864445845356573, -0.031212098057779209, 0.45901350926155482,
        -0.36214484527374324, 0.27225032629835372],
       [0.41911832930160575, 0.57233692990702401, 0.18030263871494734,
        0.2350064197462228, 0.78169279235403877, 0.63489566439271594,
        -0.00072092693570664378, 0.38037507682960608,
        -0.021963473479113781, 0.34076308338391464, 0.31606293106836675,
        0.97947290292078859, 0.42342467432308306, 0.60839995741358166,
        0.23106543519032938, 0.49267691044407402, 0.38688437567856532]], dtype=object),
       array([[0.54487872672482252, -9.1315752688523499, 11.24618193653815,
        1.8363562171153547, 0.38701817335076799, 0.9212287866509593]], dtype=object)], dtype=object)

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
