Running data/house-votes-84.data.new.txt Experiment with positive class = republican
Number of Hidden Layers: 1
Number of Nodes in First Hidden Layer: 5
Number of Nodes in First Hidden Layer: None
Average Error Rate: 0.1627906976744186
Standard Deviation: 0.22750320188642975
Learned NN Model (Weights) 
array([ array([[0.59046696425281742, 0.66274934546044673, 0.95512705734346481,
        0.42530955116642233, 0.34834208991184207, 0.42560201562198868,
        0.76098446799312847, 0.47677937641499102, 0.22619621518148625,
        0.82180109941083823, 0.21317534095865098, 0.5004346389929869,
        0.16300842780480268, 0.5958976134170787, 0.65961477702017923,
        0.39460465238984122, 0.41624618448379053],
       [0.9511276722394244, 0.022762297703875133, 0.80470867384163602,
        0.12092578135651547, 0.4561986583748574, 0.57463439023066065,
        0.22513301792510676, 0.94681469415195807, 0.075626633637849106,
        0.37472584168371559, 0.27988585511774133, 0.90139604912394122,
        0.18813727436806324, 0.96884707951130766, 0.52708447189006291,
        0.19609948655830101, 0.087400595795236916],
       [0.76711297612731399, 0.20131883434069811, 0.053144556895957359,
        0.35489227524893013, 0.033710482814636879, 0.15771669109182013,
        0.21625197245463484, 0.91621554740416977, 0.39936710642553097,
        0.14470879213943663, 0.88184373117393222, 0.29003329790856835,
        0.24657623977469692, 0.92203462865346497, 0.68235374799812265,
        0.40225678203480497, 0.17876347724161232],
       [0.67404365174330028, 0.6668288414554886, 0.39885090280943453,
        0.64710660705394862, 0.97727583404176144, 0.9215158923426956,
        0.59431426433273493, 0.84251311230197734, 0.14074797017019564,
        0.15165891481189486, 0.7076044276754192, 0.60680494043107225,
        0.029535463649460539, 0.18119345679032364, 0.99333287860850372,
        0.035048291272349534, 0.75375570569190875],
       [0.87990361726620181, 0.85121803999227585, 0.54764913663708625,
        0.76712239602072851, 0.44937841560965031, 0.10023864958028766,
        0.83647081618536856, 0.74283996693440646, 0.50793906354664597,
        0.78224386061358719, 0.17558194620737425, 0.75732217194097962,
        0.78634265917705926, 0.78612006838788484, 0.74023427603261538,
        0.3001449320656947, 0.75721608205987634]], dtype=object),
       array([[0.17322311202750965, 0.093993428746113855, 0.081483744144415393,
        0.21459443927742095, 0.099874938690667991, 0.13584165170204807]], dtype=object)], dtype=object)

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
