Running data/house-votes-84.data.new.txt Experiment with positive class = democrat
Number of Hidden Layers: 2
Number of Nodes in First Hidden Layer: 5
Number of Nodes in First Hidden Layer: 15
Average Error Rate: 0.10930232558139537
Standard Deviation: 0.13770112877290663
Learned NN Model (Weights) 
array([ array([[0.5354812223980927, 0.31435887828977288, -0.13949374390452116,
        0.68789657975587937, 0.76527612532802547, 0.034187978903641558,
        0.78478951550199749, 0.78106548255827757, -0.12443619277201498,
        0.79423262847510023, 0.86196760927379812, 0.83188540970449976,
        0.6862491735833578, 0.012738562818059946, 0.47494524788835873,
        0.54538045916689049, 0.34254833432228243],
       [-0.13078979214905603, -0.3156061275113532, 2.662401733365241,
        -4.1317598578584347, -0.58296121478140439, 0.85972895441912311,
        -0.61385472322854406, -0.40310320302345937, 1.5155706756566321,
        -0.73608922311045799, 1.7738197990716438, -0.88963045754177028,
        1.2120011631321155, -1.5556309866725122, 0.75575037450736049,
        -2.0262102811669207, 2.9407823756961999],
       [0.96409699087415679, 0.64914091851804601, 0.26989217303447799,
        0.84463763133845771, 0.36621651203596911, 0.4484191708954452,
        0.22995872965629249, 0.65858419432438786, 0.20712211244177758,
        0.58293112359180554, 0.77701940886703502, 0.22814133177186571,
        0.89027246910355373, 0.72943008228930739, 0.73658745773438206,
        0.64916898332115502, 0.18571024214699425],
       [0.29969472520572032, 0.43664889983811633, 0.56760132676800479,
        -0.039911551160484469, 0.68265957753335238, 0.81428701200150033,
        0.073755863880742914, 0.649972037223153, 0.41505247725063743,
        0.049827128215710247, 0.12678627013474125, 0.35125500482155525,
        0.27264275163893542, 0.4849903170655166, 0.67651317885675633,
        0.7092165408289246, 0.23908874870857466],
       [0.75837226533264501, 0.51382759709464598, 0.23308277338399608,
        0.56768429240451801, 0.68017148202512923, 0.77056013809105062,
        0.72456353759327263, 0.85555032285420352, 0.47793825585404781,
        0.01629804187215635, 0.61330895591000656, 0.93044160171297907,
        0.1424004397086335, 0.92724807455060587, 0.20310316297647921,
        0.82637688110929231, 0.22436956605569489]], dtype=object),
       array([[-0.043443571705402043, -1.7185369788399456, 0.0014114711839409565,
        0.020248746226057077, 0.28797820725188777, 0.24541473789184395],
       [0.29760243002061981, 0.89266448834429191, 0.55716723741346097,
        0.58748260527634033, -0.2485220562803423, 0.04257080092113881],
       [-0.004527244799009747, -0.13697438917467833, 0.54656925982893156,
        0.28301373249129969, -0.17650098991067653, 0.19973693742080231],
       [0.7678151860621556, 0.18981652805774063, 0.78950350070478426,
        0.34521912389145898, 0.8311517388297015, 0.81711543434338973],
       [-0.06457826008909387, 3.4452953602153991, -0.4445125297162773,
        -0.31797029480061362, 0.061198373664694668, -0.59686397264137281],
       [0.061365494235000789, -2.5420142862532429, -0.099246288251780362,
        0.68418994099621089, 0.52885750878628934, -0.22857714681058497],
       [-0.25926030404108752, 2.2709375396841884, 0.13223150508236661,
        -0.052100274549477792, -0.5356202232744619, -0.12898087337135652],
       [-0.088301019302265138, -2.207923477617499, 0.65122301052323139,
        0.062183643322389133, 0.18203364294403226, -0.029186248075976293],
       [0.8337768733738774, 0.94001489009714301, 0.62311166768499116,
        0.32398383765675887, 0.79809946651378771, 0.48664464672906144],
       [0.60661037868151158, -3.5155162104608628, 0.70207317726397456,
        -0.23105044213150788, -0.11438893808226261, 0.41358264465246347],
       [-0.53655727902680805, 1.3683702428426152, 0.33122065206430296,
        -0.30171893801775129, -0.072142978237502001, 0.17396191307955697],
       [0.75690958105831563, -3.0903296633523696, 0.45279768929046621,
        -0.072673747616774045, -0.098314605678008496, 0.1520958064339413],
       [0.53756105924479136, 0.5737809471258688, 0.89342701767540789,
        0.67273201896672374, -0.10126086172095737, 0.87499820516551707],
       [0.010853072112972763, 0.36235792209682655, 0.022514749074897155,
        0.12752961074483726, 0.26115701631784288, 0.48314198317926604],
       [0.36663135973476557, 0.26539360015655827, 0.30614261372338253,
        0.46676641321269968, 0.78665548088426551, -0.10718738254732549]], dtype=object),
       array([[-1.6460525766776966, 0.85899351532086965, -0.014145402659883642,
        0.0083702240378939925, 3.5630881550743614, -2.492345492971042,
        2.3205381744984743, -2.1405358910506025, 0.50466711955401267,
        -3.509225089471351, 1.4647845428909791, -3.0728654915014739,
        0.27086558269132122, 0.37011068802952157, 0.1349040726409213,
        0.3442699632445336]], dtype=object)], dtype=object)

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
