Running data/house-votes-84.data.new.txt Experiment with positive class = republican
Number of Hidden Layers: 2
Number of Nodes in First Hidden Layer: 5
Number of Nodes in First Hidden Layer: 15
Average Error Rate: 0.05348837209302326
Standard Deviation: 0.02278595109565747
Learned NN Model (Weights) 
array([ array([[0.58654027262067665, 0.93364747083250077, 0.49987476872858649,
        0.011480412063745874, 0.11029983687966188, -0.11654472070953723,
        0.10435596775807994, 0.6307897764923146, 0.030505642284296131,
        0.88072914571302885, 0.69099887488392409, 0.39207399741178722,
        0.78779999532434597, 0.090082058428144055, 0.47823458722595757,
        0.79470708243758914, -0.065070717913304821],
       [0.54992733339237221, 0.69663688391590284, 0.089283213889202365,
        0.79143630797610331, 0.46415025132840593, 0.46235688513392859,
        0.69938173164346873, 0.18159789812652843, 0.29685632172933285,
        0.12171627385540758, 0.47482563256007798, 0.23431693634937242,
        0.48367716862984356, 0.65772014754585795, 0.12626774663995843,
        0.24386316860278912, 0.30001386113399769],
       [0.70410976988429197, 0.75911494597527196, 0.36306421633324953,
        0.77144497386386446, 0.43493523005070561, 0.24558935626749934,
        0.0161269767418773, 0.21114422911171721, 0.14669984258319158,
        0.16289869572457127, 0.21853422456132557, 0.85208984578249936,
        0.66224578057807715, 0.84999812423187038, 0.32519329041550871,
        0.2211960895688859, 0.7273398541579037],
       [0.30764710612790402, 0.82690650636230667, 0.33642143527857815,
        0.29387595693161317, 0.37670036748674801, -0.072479027661045983,
        0.51802021992977798, 0.37180325994043784, 0.73615836377382193,
        0.0051364611055515867, 0.38190942026127839, 0.39725697101105956,
        0.64146382983256944, 0.74940226142709443, 0.49091590207894398,
        0.97836203720534531, 0.93874623722195949],
       [-0.53197386361738286, 0.65075501725103491, 2.3534891540632441,
        -4.0424050057288206, -0.61260266327643864, 0.60051698585671742,
        -0.18333075327055434, -0.27480310499012184, 2.7266778543864509,
        -1.675301096542883, 2.7182601256112475, -0.27180134820693058,
        0.63315897466181992, -0.59952681699075661, 0.56582058280216829,
        -1.5550517219837603, 1.5745565802665391]], dtype=object),
       array([[0.79982111343331541, 0.58715516226793674, 0.39212912223732538,
        0.34079291802842515, 0.92670663664142583, -0.013203988871186024],
       [0.0047756839291869611, 0.1187049025141178, 0.80810317224859418,
        0.31225641209091448, -3.5631153137440394, 0.37909710962770182],
       [0.57264869993092027, 0.62069444491441894, 0.53036835418301143,
        0.16373421888551576, 0.015835627453142938, 0.5817255316949953],
       [0.25232087250324292, 0.45183341604898475, 0.63423054458521477,
        0.92487814048397532, 0.51544233663585348, 0.89572644877448948],
       [-0.75304711715924488, -0.11465536871478495, -0.52078556230716178,
        -0.068553532005088513, 4.4806402699575596, -0.58774890045727068],
       [0.49250526932747202, 0.36854503329298227, 0.83196800767404877,
        0.66350424406163733, 0.68998815023329851, 0.40824795478137377],
       [-0.070825346658388633, 0.3753658136726129, 0.6771312245464417,
        0.2118649068233317, 0.50600039378713291, 0.42745705245060839],
       [0.29043780256523527, 0.31838065901012996, 0.22150281180893702,
        0.66400056786845951, 0.060468347855577018, 0.68710683335420786],
       [0.95815017811871839, 0.50442069793483246, 0.31459253639896684,
        0.1547391785905077, 0.06939822248870324, 0.62872688053908332],
       [0.97451362051245261, 0.85973121948766118, 0.26026236073747677,
        0.87502732648106651, 0.31408229357869649, 0.41244578453237235],
       [0.72526984942469963, -0.24368256541426267, 0.63970383829900823,
        0.46751962674998288, 0.47556938382488861, -0.11004198192173262],
       [0.21431483490343234, -0.36594118038042567, -0.29367967073784201,
        -0.42079383099269413, 1.297849151778149, 0.36595766002065538],
       [-0.64027025500029422, -0.71948283001173641, -0.74861187364194848,
        -0.097884790718822695, 4.582233840794367, 0.10825120791182243],
       [0.85585117613795003, 0.96879678823187965, 0.40623320244877903,
        0.73531178103823958, 0.50674681210769201, 0.63630180172417561],
       [0.013377475176746154, -0.21956321502427117, 0.19445417150605265,
        -0.43191271138258286, 1.3229179250396284, 0.10959629830716125]], dtype=object),
       array([[-0.25356688391884519, 3.7942478779010118, 0.59918497758773448,
        0.62313636666218164, -4.5880552246496862, 0.4341064287475534,
        -0.2115792834845821, 0.42908226660801785, 0.61900279747103715,
        0.44809340131897857, -0.26297053713863344, -1.1515592653601137,
        -4.7606869764784969, 0.63277773104091783, -1.0814586390890184,
        0.9443361943202607]], dtype=object)], dtype=object)

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 1
1, 1
1, 1
1, 1
